ndc9:929.45	"その他の東洋文学--オーストロネシア諸語--ポリネシア諸語：マオリ語，ヌクオロ語"
ndc9:929.46	"その他の東洋文学--オーストロネシア諸語--メラネシア諸語：フィジー語"
ndc9:929.47	"その他の東洋文学--オーストロネシア諸語--ミクロネシア諸語"
ndc9:929.5	"その他の東洋文学--アルタイ諸語"
ndc9:929.53	"その他の東洋文学--アルタイ諸語--ツングース諸語：女真語，満州語"
ndc9:929.55	"その他の東洋文学--アルタイ諸語--モンゴル諸語：蒙古語［モンゴル語］，カルムイク語，ブリヤート語"
ndc9:929.551	"（その他の東洋文学--蒙古詩）"
ndc9:929.57	"その他の東洋文学--アルタイ諸語--チュルク諸語：トルコ語"
ndc9:929.58	"その他の東洋文学--アルタイ諸語--ウイグル語．突厥語"
ndc9:929.6	"その他の東洋文学--ドラヴィダ諸語：タミル語，テルグ語"
ndc9:929.69	"その他の東洋文学--カフカース諸語：グルジア語"
ndc9:929.7	"その他の東洋文学--セム・ハム諸語"
ndc9:929.71	"その他の東洋文学--セム・ハム諸語--アッカド語：アッシリア語，バビロニア語"
ndc9:929.72	"その他の東洋文学--セム・ハム諸語--カナン語群．フェニキア語"
ndc9:929.73	"その他の東洋文学--セム・ハム諸語--ヘブライ語"
ndc9:929.731	"（その他の東洋文学--ヘブライ詩）"
ndc9:929.74	"その他の東洋文学--セム・ハム諸語--アラム語"
ndc9:929.75	"その他の東洋文学--セム・ハム諸語--シリア語"
ndc9:929.76	"その他の東洋文学--セム・ハム諸語--アラビア語"
ndc9:929.761	"（その他の東洋文学--アラビア詩）"
ndc9:929.763	"（その他の東洋文学--アラビア語--アラビアン・ナイト［書名］，千一夜物語［書名］）"
ndc9:929.78	"その他の東洋文学--セム・ハム諸語--エチオピア諸語：アムハラ語"
ndc9:929.8	"その他の東洋文学--インド諸語"
ndc9:929.81	"（その他の東洋文学--インド詩）"
ndc9:929.83	"その他の東洋文学--インド諸語--ヒンディー語"
ndc9:929.85	"その他の東洋文学--インド諸語--ウルドゥー語．パンジャーブ語．アッサム語"
ndc9:929.88	"その他の東洋文学--インド諸語--サンスクリット［梵語］．ヴェーダ語"
ndc9:929.89	"その他の東洋文学--インド諸語--パーリ語．プラークリット"
ndc9:929.9	"その他の東洋文学--イラン諸語"
ndc9:929.93	"その他の東洋文学--イラン諸語--ペルシア語"
