ndc9:8	"言語（類目）"
ndc9:859.5	"プロヴァンス語--文法．語法"
ndc9:859.6	"プロヴァンス語--文章．文体．作文"
ndc9:859.7	"プロヴァンス語--読本．解釈．会話"
ndc9:859.78	"プロヴァンス語--読本．解釈．会話--会話"
ndc9:859.8	"プロヴァンス語--方言．訛語"
ndc9:859.9	"プロヴァンス語--カタロニア語"
ndc9:86	"スペイン語（綱目）"
ndc9:860	"スペイン語"
ndc9:860.7	"（スペイン語--スペイン語教育）"
ndc9:861	"スペイン語--音声．音韻．文字"
ndc9:862	"スペイン語--語源．語義．意味"
ndc9:863	"スペイン語--辞典"
ndc9:864	"スペイン語--語彙"
ndc9:865	"スペイン語--文法．語法"
ndc9:866	"スペイン語--文章．文体．作文"
ndc9:867	"スペイン語--読本．解釈．会話"
ndc9:867.8	"スペイン語--読本．解釈．会話--会話"
ndc9:868	"スペイン語--方言．訛語"
ndc9:869	"ポルトガル語"
ndc9:869.1	"ポルトガル語--音声．音韻．文字"
ndc9:869.2	"ポルトガル語--語源．語義．意味"
ndc9:869.3	"ポルトガル語--辞典"
ndc9:869.4	"ポルトガル語--語彙"
ndc9:869.5	"ポルトガル語--文法．語法"
ndc9:869.6	"ポルトガル語--文章．文体．作文"
ndc9:869.7	"ポルトガル語--読本．解釈．会話"
ndc9:869.78	"ポルトガル語--読本．解釈．会話--会話"
ndc9:869.8	"ポルトガル語--方言．訛語"
ndc9:869.9	"ポルトガル語--ガリシア語"
ndc9:87	"イタリア語（綱目）"
ndc9:870	"イタリア語"
ndc9:871	"イタリア語--音声．音韻．文字"
ndc9:872	"イタリア語--語源．語義．意味"
ndc9:873	"イタリア語--辞典"
ndc9:874	"イタリア語--語彙"
ndc9:875	"イタリア語--文法．語法"
ndc9:876	"イタリア語--文章．文体．作文"
ndc9:877	"イタリア語--読本．解釈．会話"
ndc9:877.8	"イタリア語--読本．解釈．会話--会話"
ndc9:878	"イタリア語--方言．訛語"
ndc9:879	"その他のロマンス諸語"
ndc9:879.1	"その他のロマンス諸語--ルーマニア語"
ndc9:879.9	"その他のロマンス諸語--レト・ロマンス語"
ndc9:88	"ロシア語（綱目）"
ndc9:880	"ロシア語"
ndc9:881	"ロシア語--音声．音韻．文字"
ndc9:882	"ロシア語--語源．語義．意味"
ndc9:883	"ロシア語--辞典"
ndc9:884	"ロシア語--語彙"
ndc9:885	"ロシア語--文法．語法"
ndc9:886	"ロシア語--文章．文体．作文"
ndc9:887	"ロシア語--読本．解釈．会話"
ndc9:887.8	"ロシア語--読本．解釈．会話--会話"
ndc9:888	"ロシア語--方言．訛語"
ndc9:889	"その他のスラヴ諸語"
ndc9:889.1	"その他のスラヴ諸語--ブルガリア語．マケドニア語"
ndc9:889.2	"その他のスラヴ諸語--セルビア・クロアチア語"
ndc9:889.3	"その他のスラヴ諸語--スロベニア語"
ndc9:889.4	"その他のスラヴ諸語--ウクライナ語"
ndc9:889.5	"その他のスラヴ諸語--チェコ語［ボヘミア語］"
ndc9:889.6	"その他のスラヴ諸語--スロバキア語"
ndc9:889.7	"その他のスラヴ諸語--ソルブ語［ヴェンド語］"
ndc9:889.8	"その他のスラヴ諸語--ポーランド語"
ndc9:889.9	"その他のスラヴ諸語--バルト諸語：古プロシア語，ラトビア語［レット語］，リトアニア語"
ndc9:89	"その他の諸言語（綱目）"
ndc9:890	"その他の諸言語"
ndc9:891	"ギリシア語"
ndc9:891.09	"（ギリシア語--ミノア文字）"
ndc9:891.1	"ギリシア語--音声．音韻．文字"
ndc9:891.2	"ギリシア語--語源．語義．意味"
ndc9:891.3	"ギリシア語--辞典"
ndc9:891.4	"ギリシア語--語彙"
ndc9:891.5	"ギリシア語--文法．語法"
ndc9:891.6	"ギリシア語--文章．文体．作文"
ndc9:891.7	"ギリシア語--読本．解釈．会話"
ndc9:891.78	"ギリシア語--読本．解釈．会話--会話"
ndc9:891.8	"ギリシア語--方言．訛語"
ndc9:891.9	"ギリシア語--近代ギリシア語"
ndc9:892	"ラテン語"
ndc9:892.1	"ラテン語--音声．音韻．文字"
ndc9:892.2	"ラテン語--語源．語義．意味"
ndc9:892.3	"ラテン語--辞典"
