ndc9:6	"産業（類目）"
ndc9:667.5	"水産製造．水産食品--練製品：かまぼこ，ちくわ，はんぺん"
ndc9:667.6	"水産製造．水産食品--調味加工・醗酵品：粕漬，魚味噌，塩辛"
ndc9:667.7	"水産製造．水産食品--抄製品．加工海藻品：こんぶ，干のり，わかめ，ひじき"
ndc9:667.8	"水産製造．水産食品--低温貯蔵品．冷凍魚"
ndc9:667.9	"水産製造．水産食品--水産缶詰"
ndc9:668	"水産物利用．水産利用工業"
ndc9:668.1	"水産物利用．水産利用工業--水産肥料・飼料"
ndc9:668.2	"水産物利用．水産利用工業--水産油脂"
ndc9:668.3	"水産物利用．水産利用工業--水産皮革．魚皮"
ndc9:668.4	"水産物利用．水産利用工業--魚膠"
ndc9:668.5	"水産物利用．水産利用工業--海藻利用工業：寒天"
ndc9:668.6	"水産物利用．水産利用工業--海綿"
ndc9:668.8	"水産物利用．水産利用工業--水産工芸品：真珠，貝殻，べっ甲，さんご"
ndc9:669	"製塩．塩業"
ndc9:67	"商業（綱目）"
ndc9:670	"商業"
ndc9:670.1	"商業--商業概論．商学"
ndc9:670.7	"（商業--商業教育）"
ndc9:670.9	"商業--商業通信［ビジネスレター］．商業作文．商用語学"
ndc9:671	"商業政策・行政"
ndc9:671.2	"商業政策・行政--商業行政・法令"
ndc9:671.3	"商業政策・行政--不正取引"
ndc9:671.4	"商業政策・行政--中小商業"
ndc9:671.6	"商業政策・行政--商工協同組合．商工組合"
ndc9:672	"商業史・事情"
ndc9:672.1	"（商業史・事情--株仲間）"
ndc9:672.8	"（商業史・事情--商人）"
ndc9:672.9	"商業史・事情--商業地理"
ndc9:673	"商業経営．商店"
ndc9:673.1	"商業経営．商店--商店員．店則"
ndc9:673.2	"商業経営．商店--商品管理．商品仕入"
ndc9:673.3	"商業経営．商店--販売．販売促進．セールスマンシップ．セールスマン"
ndc9:673.5	"商業経営．商店--卸売業．問屋"
ndc9:673.6	"商業経営．商店--仲買業．ブローカー"
ndc9:673.7	"商業経営．商店--小売業：小売市場，専門店，よろず屋"
ndc9:673.8	"商業経営．商店--デパート［百貨店］．スーパーマーケット．チェーンストア"
ndc9:673.9	"商業経営．商店--サービス産業"
ndc9:674	"広告．宣伝"
ndc9:674.1	"広告．宣伝--広告理論・心理・倫理"
ndc9:674.2	"広告．宣伝--広告史・事情"
