ndc9:339.7	"保険--運送保険"
ndc9:339.8	"保険--海上保険：船舶保険，貨物保険"
ndc9:339.9	"保険--その他の損害保険"
ndc9:34	"財政（綱目）"
ndc9:340	"財政"
ndc9:341	"財政学．財政思想"
ndc9:341.2	"財政学．財政思想--財政学説史．財政思想史"
ndc9:341.7	"財政学．財政思想--収入論"
ndc9:342	"財政史・事情"
ndc9:343	"財政政策．財務行政"
ndc9:343.2	"財政政策．財務行政--財政法．会計法"
ndc9:343.7	"財政政策．財務行政--経費．財政支出"
ndc9:343.8	"財政政策．財務行政--会計検査"
ndc9:343.9	"財政政策．財務行政--会計制度．官庁会計・簿記"
ndc9:344	"予算．決算"
ndc9:345	"租税"
ndc9:345.1	"租税--租税政策・行政．税制改革"
ndc9:345.2	"租税--租税史・事情"
ndc9:345.3	"租税--収得税"
ndc9:345.4	"租税--収益税"
ndc9:345.5	"租税--財産税"
ndc9:345.6	"租税--流通税"
ndc9:345.7	"租税--間接税：物品税"
ndc9:347	"公債．国債"
ndc9:347.1	"公債．国債--公債政策．公債計画"
ndc9:347.2	"公債．国債--公債史・事情"
ndc9:347.5	"公債．国債--公債管理．償還・減債基金"
ndc9:347.6	"公債．国債--大蔵省証券"
ndc9:347.7	"公債．国債--外国債"
ndc9:348	"専売．国有財産"
ndc9:348.3	"専売．国有財産--国有財産"
ndc9:348.4	"専売．国有財産--専売事業"
ndc9:349	"地方財政"
ndc9:349.2	"地方財政--地方財政史・事情"
ndc9:349.3	"地方財政--地方財政政策・財務行政"
ndc9:349.4	"地方財政--地方経費．地方費．予算・決算"
ndc9:349.5	"地方財政--地方税．地方交付税"
ndc9:349.7	"地方財政--地方債"
ndc9:349.8	"地方財政--公有財産"
ndc9:349.9	"地方財政--都市財政問題"
ndc9:35	"統計（綱目）"
ndc9:350	"統計"
ndc9:350.1	"統計--統計理論．統計学．製表"
ndc9:350.2	"統計--統計史・事情"
ndc9:350.7	"（統計--統計教育）"
ndc9:350.9	"統計--世界統計書"
ndc9:351	"統計--日本"
ndc9:352	"統計--アジア"
ndc9:353	"統計--ヨーロッパ"
ndc9:354	"統計--アフリカ"
ndc9:355	"統計--北アメリカ"
ndc9:356	"統計--南アメリカ"
ndc9:357	"統計--オセアニア．両極地方"
ndc9:358	"人口統計．国勢調査"
ndc9:359	"各種の統計書"
ndc9:36	"社会（綱目）"
ndc9:360	"社会"
ndc9:361	"社会学"
ndc9:361.1	"社会学--社会哲学"
ndc9:361.2	"社会学--社会学説史"
ndc9:361.3	"社会学--社会関係．社会過程"
ndc9:361.4	"社会学--社会心理学"
ndc9:361.5	"社会学--文化．文化社会学：文化変容，社会進歩，社会解体"
ndc9:361.6	"社会学--社会集団"
ndc9:361.7	"社会学--地域社会"
ndc9:361.8	"社会学--社会的成層：階級，階層，身分"
ndc9:361.9	"社会学--社会測定．社会調査．社会統計"
ndc9:362	"社会史．社会体制"
ndc9:362.1	"（社会史．社会体制--氏，士族）"
ndc9:364	"社会保障"
ndc9:364.1	"社会保障--社会政策"
ndc9:364.3	"社会保障--社会保険"
ndc9:364.4	"社会保障--健康保険．国民健康保険"
ndc9:364.5	"社会保障--労働者災害補償保険"
ndc9:364.6	"社会保障--国民年金．厚生年金．共済年金"
ndc9:364.7	"社会保障--失業保険．雇用保険"
ndc9:365	"生活・消費者問題"
ndc9:365.1	"生活・消費者問題--衣料問題"
ndc9:365.2	"生活・消費者問題--食糧問題"
ndc9:365.3	"生活・消費者問題--住宅問題"
ndc9:365.4	"生活・消費者問題--生計費．家計調査"
ndc9:365.5	"生活・消費者問題--生活実態調査．生活時間調査"
ndc9:365.6	"生活・消費者問題--生活改善．合理化．新生活運動"
ndc9:365.7	"生活・消費者問題--余暇"
ndc9:365.8	"生活・消費者問題--消費者運動"
ndc9:366	"労働経済．労働問題"
ndc9:366.1	"労働経済．労働問題--労働政策・行政・法令"
ndc9:366.2	"労働経済．労働問題--労働力．雇用．労働市場：就業人口，労働移動"
ndc9:366.3	"労働経済．労働問題--労働条件．労働者の保護"
ndc9:366.4	"労働経済．労働問題--賃金"
ndc9:366.5	"労働経済．労働問題--労使関係．労資協調"
ndc9:366.6	"労働経済．労働問題--労働組合．労働運動"
ndc9:366.7	"労働経済．労働問題--労働者生活・教育．技能者養成"
ndc9:366.8	"労働経済．労働問題--各種の労働・労働者"
ndc9:366.9	"労働経済．労働問題--労働科学．産業社会学"
ndc9:367	"家族問題．男性・女性問題．老人問題"
ndc9:367.1	"家族問題．男性・女性問題．老人問題--女性．女性論"
ndc9:367.2	"家族問題．男性・女性問題．老人問題--女性史・事情"
ndc9:367.3	"家族問題．男性・女性問題．老人問題--家．家族関係"
ndc9:367.4	"家族問題．男性・女性問題．老人問題--婚姻・離婚問題"
ndc9:367.5	"家族問題．男性・女性問題．老人問題--男性．男性論"
ndc9:367.6	"家族問題．男性・女性問題．老人問題--児童・青少年問題"
ndc9:367.7	"家族問題．男性・女性問題．老人問題--老人．老人問題"
ndc9:367.9	"家族問題．男性・女性問題．老人問題--性問題．性教育"
ndc9:368	"社会病理"
ndc9:368.2	"社会病理--貧困．スラム．どや街．浮浪者．ホームレス"
ndc9:368.3	"社会病理--自殺．自殺防止"
ndc9:368.4	"社会病理--人身売買．売買春．公私娼"
ndc9:368.5	"社会病理--反社会集団"
ndc9:368.6	"社会病理--犯罪．犯罪人．組織犯罪"
ndc9:368.7	"社会病理--青少年犯罪"
ndc9:368.8	"社会病理--中毒者"
ndc9:369	"社会福祉"
ndc9:369.1	"社会福祉--福祉政策・行財政・法令"
ndc9:369.2	"社会福祉--公的扶助．生活保護．救貧制度"
ndc9:369.3	"社会福祉--災害．災害救助"
ndc9:369.4	"社会福祉--児童福祉"
ndc9:369.5	"社会福祉--経済保護：授産事業，簡易宿泊所，公益質屋"
ndc9:369.7	"社会福祉--地域福祉．セツルメント［隣保事業］"
ndc9:369.8	"社会福祉--矯風事業"
ndc9:369.9	"社会福祉--医療社会福祉．医療保護"
ndc9:37	"教育（綱目）"
ndc9:370	"教育"
ndc9:370.7	"（教育--教育研修，実験学校）"
ndc9:370.8	"教育--叢書．全集．選集"
ndc9:371	"教育学．教育思想"
ndc9:371.1	"教育学．教育思想--教育哲学"
ndc9:371.2	"教育学．教育思想--教育学史．教育思想史"
ndc9:371.3	"教育学．教育思想--教育社会学．教育と文化"
ndc9:371.4	"教育学．教育思想--教育心理学．教育的環境学"
ndc9:371.5	"教育学．教育思想--各種の教育論・類型"
ndc9:371.6	"教育学．教育思想--道徳教育．宗教教育．情操教育．公民教育"
ndc9:371.7	"教育学．教育思想--教育測定．教育評価"
ndc9:371.8	"教育学．教育思想--教育調査法．教育統計法"
ndc9:372	"教育史・事情"
ndc9:372.1	"教育史・事情--日本教育史・事情"
ndc9:372.8	"教育史・事情--教育家＜列伝＞"
ndc9:373	"教育政策．教育制度．教育行財政"
ndc9:373.1	"教育政策．教育制度．教育行財政--教育政策．教育制度．学校制度"
ndc9:373.2	"教育政策．教育制度．教育行財政--教育行政．教育委員会．教育視察"
ndc9:373.4	"教育政策．教育制度．教育行財政--教育財政．教育費．私学助成．奨学制度．育英会"
ndc9:373.7	"教育政策．教育制度．教育行財政--教員の養成・資格．教員検定"
ndc9:374	"学校経営・管理．学校保健"
ndc9:374.1	"学校経営・管理．学校保健--学級経営・編成．指導要録．成績管理"
ndc9:374.2	"学校経営・管理．学校保健--生徒論：男女共学，共学問題"
ndc9:374.3	"学校経営・管理．学校保健--教職員"
ndc9:374.4	"学校経営・管理．学校保健--学校行事：学校儀式"
ndc9:374.5	"学校経営・管理．学校保健--学校事務．学校会計"
ndc9:374.6	"学校経営・管理．学校保健--家庭と学校との関係：PTA，学校父母会，後援会，同窓会"
