ndc9:447.3	"彗星．流星--隕石．流星群．宇宙塵"
ndc9:447.4	"彗星．流星--黄道光．対日照"
ndc9:448	"地球．天文地理学"
ndc9:448.1	"地球．天文地理学--地球の定数：太陽からの距離・視差"
ndc9:448.2	"地球．天文地理学--地熱．重力"
ndc9:448.3	"地球．天文地理学--地球の軌道．地球の自転"
ndc9:448.4	"地球．天文地理学--地球座標．経緯度"
ndc9:448.5	"地球．天文地理学--季節"
ndc9:448.6	"地球．天文地理学--潮汐"
ndc9:448.9	"地球．天文地理学--測地学．地図学"
ndc9:449	"時法．暦学"
ndc9:449.1	"時法．暦学--時刻測定．時差．天文時．太陽時"
ndc9:449.2	"時法．暦学--恒星時．恒星日．恒星月．恒星年"
ndc9:449.3	"時法．暦学--暦書"
ndc9:449.4	"時法．暦学--天文学的年代学"
ndc9:449.5	"時法．暦学--天体暦．天体位置表"
ndc9:449.8	"時法．暦学--各国の暦"
ndc9:45	"地球科学．地学（綱目）"
ndc9:450	"地球科学．地学"
ndc9:450.7	"（地球科学．地学--国際地球観測年）"
ndc9:450.9	"地球科学．地学--自然地理"
ndc9:451	"気象学"
ndc9:451.1	"気象学--理論気象学．気象力学．気象熱力学"
ndc9:451.2	"気象学--気象観測．気象測器．気象台．測候所"
ndc9:451.3	"気象学--大気現象"
ndc9:451.4	"気象学--風：風向，風速，風力"
ndc9:451.5	"気象学--大気の擾乱：台風，旋風"
ndc9:451.6	"気象学--凝結現象"
ndc9:451.7	"気象学--大気中の光・電気・音響現象"
ndc9:451.8	"気象学--気候学"
ndc9:451.9	"気象学--気象図誌．気象統計．気候誌"
ndc9:452	"海洋学"
ndc9:452.2	"海洋学--海洋誌"
ndc9:452.3	"海洋学--海水"
ndc9:452.4	"海洋学--海氷．氷山"
ndc9:452.5	"海洋学--波浪．波浪誌．風浪．うねり．津波"
ndc9:452.6	"海洋学--潮汐．潮流：潮時，流速，海嘯"
ndc9:452.7	"海洋学--海流"
ndc9:452.8	"海洋学--海底地形．海溝．海淵．大陸棚"
ndc9:452.9	"海洋学--陸水学．水文学"
ndc9:453	"地震学"
ndc9:453.2	"地震学--地震誌．地震調査"
ndc9:453.3	"地震学--地震観測．地震計"
ndc9:453.4	"地震学--断層地震．地震津波"
ndc9:453.5	"地震学--火山地震"
ndc9:453.6	"地震学--陥落地震"
ndc9:453.8	"地震学--火山学"
ndc9:453.9	"地震学--温泉学．間歇泉"
ndc9:454	"地形学"
ndc9:454.2	"地形学--地形輪廻"
ndc9:454.3	"地形学--侵蝕地形［小地形］"
ndc9:454.4	"地形学--構造地形．断層．褶曲"
ndc9:454.5	"地形学--山岳．山脈．山塊．山地"
ndc9:454.6	"地形学--平原．扇状地．デルタ"
ndc9:454.7	"地形学--大陸．島嶼．海岸線．潟．湾．岬"
ndc9:454.9	"地形学--地形図誌．地形写真"
ndc9:455	"地質学"
ndc9:455.1	"（地質学--日本列島）"
ndc9:455.8	"地質学--内因的地質営力"
ndc9:455.9	"地質学--外因的地質営力"
ndc9:456	"地史学．層位学"
ndc9:456.2	"地史学．層位学--先カンブリア紀：始生代，原生代"
ndc9:456.3	"地史学．層位学--古生代"
ndc9:456.5	"地史学．層位学--中生代"
