ndc9:2	"歴史（類目）"
ndc9:233.3	"ヨーロッパ史．西洋史--イギリス．英国--イングランド"
ndc9:233.5	"ヨーロッパ史．西洋史--イギリス．英国--ウェールズ"
ndc9:233.6	"ヨーロッパ史．西洋史--イギリス．英国--マン島．チャンネル諸島"
ndc9:233.8	"ヨーロッパ史．西洋史--イギリス．英国--北アイルランド"
ndc9:233.9	"ヨーロッパ史．西洋史--イギリス．英国--アイルランド［エール］"
ndc9:234	"ヨーロッパ史．西洋史--ドイツ．中欧"
ndc9:234.2	"〔ヨーロッパ史．西洋史--ドイツ．中欧--西部ドイツ〕"
ndc9:234.3	"ヨーロッパ史．西洋史--ドイツ．中欧--ベルリン"
ndc9:234.5	"ヨーロッパ史．西洋史--ドイツ．中欧--スイス"
ndc9:234.6	"ヨーロッパ史．西洋史--ドイツ．中欧--オーストリア"
ndc9:234.7	"ヨーロッパ史．西洋史--ドイツ．中欧--ハンガリー"
ndc9:234.8	"ヨーロッパ史．西洋史--ドイツ．中欧--チェコ"
ndc9:234.9	"ヨーロッパ史．西洋史--ドイツ．中欧--ポーランド"
ndc9:235	"ヨーロッパ史．西洋史--フランス"
ndc9:235.3	"ヨーロッパ史．西洋史--フランス--パリ"
ndc9:235.8	"ヨーロッパ史．西洋史--フランス--ベネルックス．ベルギー"
ndc9:235.9	"ヨーロッパ史．西洋史--フランス--オランダ"
ndc9:236	"ヨーロッパ史．西洋史--スペイン［イスパニア］"
ndc9:236.8	"ヨーロッパ史．西洋史--スペイン［イスパニア］--アンドラ"
ndc9:236.9	"ヨーロッパ史．西洋史--スペイン［イスパニア］--ポルトガル"
ndc9:237	"ヨーロッパ史．西洋史--イタリア"
ndc9:237.7	"ヨーロッパ史．西洋史--イタリア--サンマリノ"
ndc9:237.8	"ヨーロッパ史．西洋史--イタリア--バチカン市国"
ndc9:237.9	"ヨーロッパ史．西洋史--イタリア--マルタ"
ndc9:238	"ヨーロッパ史．西洋史--ロシア［ソビエト連邦．独立国家共同体］"
ndc9:238.1	"ヨーロッパ史．西洋史--ロシア［ソビエト連邦．独立国家共同体］--ヨーロッパ・ロシア"
ndc9:238.5	"ヨーロッパ史．西洋史--ロシア［ソビエト連邦．独立国家共同体］--ベラルーシ"
ndc9:238.6	"ヨーロッパ史．西洋史--ロシア［ソビエト連邦．独立国家共同体］--ウクライナ"
ndc9:238.7	"ヨーロッパ史．西洋史--ロシア［ソビエト連邦．独立国家共同体］--モルドバ"
ndc9:238.8	"ヨーロッパ史．西洋史--ロシア［ソビエト連邦．独立国家共同体］--バルト3国"
ndc9:238.9	"ヨーロッパ史．西洋史--ロシア［ソビエト連邦．独立国家共同体］--北ヨーロッパ"
ndc9:239	"ヨーロッパ史．西洋史--バルカン諸国"
ndc9:239.1	"ヨーロッパ史．西洋史--バルカン諸国--ルーマニア"
ndc9:239.2	"ヨーロッパ史．西洋史--バルカン諸国--ブルガリア"
ndc9:239.3	"ヨーロッパ史．西洋史--バルカン諸国--ユーゴスラビア"
ndc9:239.4	"ヨーロッパ史．西洋史--バルカン諸国--アルバニア"
ndc9:239.5	"ヨーロッパ史．西洋史--バルカン諸国--ギリシア"
ndc9:239.6	"ヨーロッパ史．西洋史--バルカン諸国--ヨーロッパ・トルコ"
ndc9:24	"アフリカ史（綱目）"
ndc9:240	"アフリカ史"
ndc9:241	"アフリカ史--北アフリカ"
ndc9:242	"アフリカ史--エジプト"
ndc9:242.8	"アフリカ史--エジプト--スエズ運河"
ndc9:242.9	"アフリカ史--エジプト--スーダン"
ndc9:243	"アフリカ史--バーバリ諸国"
ndc9:243.1	"アフリカ史--バーバリ諸国--リビア"
ndc9:243.2	"アフリカ史--バーバリ諸国--チュニジア"
ndc9:243.3	"アフリカ史--バーバリ諸国--アルジェリア"
ndc9:243.4	"アフリカ史--バーバリ諸国--モロッコ"
ndc9:243.5	"アフリカ史--バーバリ諸国--西サハラ［旧スペイン領サハラ］"
ndc9:243.6	"アフリカ史--バーバリ諸国--カナリア諸島"
ndc9:244	"アフリカ史--西アフリカ"
ndc9:244.1	"アフリカ史--西アフリカ--［旧フランス領西アフリカ］"
ndc9:244.2	"アフリカ史--西アフリカ--上ギニア地方"
ndc9:244.3	"アフリカ史--西アフリカ--リベリア"
ndc9:244.4	"アフリカ史--西アフリカ--ガーナ［黄金海岸］"
ndc9:244.5	"アフリカ史--西アフリカ--ナイジェリア"
ndc9:244.6	"アフリカ史--西アフリカ--カメルーン"
ndc9:244.7	"アフリカ史--西アフリカ--［旧フランス領赤道アフリカ］"
ndc9:244.8	"アフリカ史--西アフリカ--ザイール［旧ベルギー領コンゴ］"
ndc9:244.9	"アフリカ史--西アフリカ--アンゴラ．カビンダ"
ndc9:245	"アフリカ史--東アフリカ"
ndc9:245.1	"アフリカ史--東アフリカ--エチオピア［アビシニア］"
ndc9:245.2	"アフリカ史--東アフリカ--ジブチ［アファル・イッサ］"
ndc9:245.3	"アフリカ史--東アフリカ--ソマリア"
ndc9:245.4	"アフリカ史--東アフリカ--ケニア"
ndc9:245.5	"アフリカ史--東アフリカ--ウガンダ"
ndc9:245.6	"アフリカ史--東アフリカ--タンザニア［タンガニーカ．ザンジバル］"
ndc9:245.8	"アフリカ史--東アフリカ--モザンビーク"
ndc9:248	"アフリカ史--南アフリカ"
ndc9:248.1	"アフリカ史--南アフリカ--マラウイ［ニアサランド］"
ndc9:248.2	"アフリカ史--南アフリカ--ザンビア［北ローデシア］"
ndc9:248.3	"アフリカ史--南アフリカ--ジンバブエ［旧ローデシア］"
ndc9:248.4	"アフリカ史--南アフリカ--ボツワナ［ベチュアナランド］"
ndc9:248.6	"アフリカ史--南アフリカ--ナミビア［南西アフリカ］"
ndc9:248.7	"アフリカ史--南アフリカ--南アフリカ共和国"
ndc9:248.8	"アフリカ史--南アフリカ--スワジランド"
ndc9:248.9	"アフリカ史--南アフリカ--レソト［バストランド］"
ndc9:249	"アフリカ史--インド洋のアフリカ諸島"
ndc9:249.1	"アフリカ史--インド洋のアフリカ諸島--マダガスカル"
ndc9:249.2	"アフリカ史--インド洋のアフリカ諸島--モーリシャス"
ndc9:249.3	"アフリカ史--インド洋のアフリカ諸島--セイシェル"
ndc9:249.4	"アフリカ史--インド洋のアフリカ諸島--コモロ"
ndc9:25	"北アメリカ史（綱目）"
ndc9:250	"北アメリカ史"
ndc9:251	"北アメリカ史--カナダ"
ndc9:251.1	"北アメリカ史--カナダ--北西地方．ユーコン地方"
ndc9:251.2	"北アメリカ史--カナダ--ニューファンドランド州．ラブラドル"
ndc9:251.3	"北アメリカ史--カナダ--東部沿岸諸州"
ndc9:251.4	"北アメリカ史--カナダ--ケベック州"
ndc9:251.5	"北アメリカ史--カナダ--オンタリオ州"
ndc9:251.6	"北アメリカ史--カナダ--西部諸州"
ndc9:251.7	"北アメリカ史--カナダ--ブリティッシュ・コロンビア州"
ndc9:253	"北アメリカ史--アメリカ合衆国"
ndc9:253.1	"北アメリカ史--アメリカ合衆国--ニューイングランド諸州"
ndc9:253.2	"北アメリカ史--アメリカ合衆国--大西洋岸中部諸州"
ndc9:253.3	"北アメリカ史--アメリカ合衆国--大西洋南部諸州"
ndc9:253.4	"北アメリカ史--アメリカ合衆国--中央北東部諸州"
ndc9:253.5	"北アメリカ史--アメリカ合衆国--中央北西部諸州"
ndc9:253.6	"北アメリカ史--アメリカ合衆国--中央南部諸州"
ndc9:253.8	"北アメリカ史--アメリカ合衆国--山岳諸州"
ndc9:253.9	"北アメリカ史--アメリカ合衆国--太平洋岸諸州"
ndc9:255	"北アメリカ史--ラテン・アメリカ［中南米］"
ndc9:256	"北アメリカ史--メキシコ"
ndc9:257	"北アメリカ史--中央アメリカ［中米諸国］"
ndc9:257.1	"北アメリカ史--中央アメリカ［中米諸国］--グアテマラ"
ndc9:257.2	"北アメリカ史--中央アメリカ［中米諸国］--エル・サルバドル"
ndc9:257.3	"北アメリカ史--中央アメリカ［中米諸国］--ホンジュラス"
ndc9:257.4	"北アメリカ史--中央アメリカ［中米諸国］--ベリーズ［旧イギリス領ホンジュラス］"
ndc9:257.5	"北アメリカ史--中央アメリカ［中米諸国］--ニカラグア"
ndc9:257.6	"北アメリカ史--中央アメリカ［中米諸国］--コスタ・リカ"
ndc9:257.8	"北アメリカ史--中央アメリカ［中米諸国］--パナマ．運河地帯"
ndc9:259	"北アメリカ史--西インド諸島"
ndc9:259.1	"北アメリカ史--西インド諸島--キューバ"
ndc9:259.2	"北アメリカ史--西インド諸島--ジャマイカ"
ndc9:259.3	"北アメリカ史--西インド諸島--ハイチ"
ndc9:259.4	"北アメリカ史--西インド諸島--ドミニカ共和国"
ndc9:259.6	"北アメリカ史--西インド諸島--プエルト・リコ"
ndc9:259.7	"北アメリカ史--西インド諸島--小アンティル諸島"
ndc9:259.8	"北アメリカ史--西インド諸島--グレナダ"
ndc9:259.9	"北アメリカ史--西インド諸島--トリニダード・トバゴ"
ndc9:26	"南アメリカ史（綱目）"
ndc9:260	"南アメリカ史"
ndc9:261	"南アメリカ史--北部諸国［カリブ沿海諸国］"
ndc9:261.2	"南アメリカ史--北部諸国［カリブ沿海諸国］--ギアナ地方"
ndc9:261.3	"南アメリカ史--北部諸国［カリブ沿海諸国］--ベネズエラ"
ndc9:261.4	"南アメリカ史--北部諸国［カリブ沿海諸国］--コロンビア"
ndc9:261.5	"南アメリカ史--北部諸国［カリブ沿海諸国］--エクアドル"
ndc9:262	"南アメリカ史--ブラジル"
ndc9:263	"南アメリカ史--パラグアイ"
ndc9:264	"南アメリカ史--ウルグアイ"
ndc9:265	"南アメリカ史--アルゼンチン"
ndc9:265.9	"南アメリカ史--アルゼンチン--フォークランド諸島［マルビナス諸島］"
ndc9:266	"南アメリカ史--チリ"
ndc9:267	"南アメリカ史--ボリビア"
ndc9:268	"南アメリカ史--ペルー"
ndc9:27	"オセアニア史．両極地方史（綱目）"
ndc9:270	"オセアニア史．両極地方史"
ndc9:271	"オセアニア史．両極地方史--オーストラリア"
ndc9:271.1	"オセアニア史．両極地方史--オーストラリア--クイーンズランド州"
ndc9:271.2	"オセアニア史．両極地方史--オーストラリア--北部地方"
ndc9:271.3	"オセアニア史．両極地方史--オーストラリア--西オーストラリア州"
ndc9:271.4	"オセアニア史．両極地方史--オーストラリア--南オーストラリア州"
ndc9:271.5	"オセアニア史．両極地方史--オーストラリア--ニューサウスウェールズ州"
ndc9:271.6	"オセアニア史．両極地方史--オーストラリア--連邦首都地区"
ndc9:271.7	"オセアニア史．両極地方史--オーストラリア--ビクトリア州"
ndc9:271.8	"オセアニア史．両極地方史--オーストラリア--タスマニア州"
ndc9:272	"オセアニア史．両極地方史--ニュージーランド"
ndc9:273	"オセアニア史．両極地方史--メラネシア"
ndc9:273.2	"オセアニア史．両極地方史--メラネシア--ソロモン諸島"
ndc9:273.3	"オセアニア史．両極地方史--メラネシア--バヌアツ"
ndc9:273.4	"オセアニア史．両極地方史--メラネシア--フィジー"
ndc9:273.5	"オセアニア史．両極地方史--メラネシア--ニューカレドニア．ローヤルティ諸島"
ndc9:273.6	"オセアニア史．両極地方史--メラネシア--パプア・ニューギニア"
ndc9:274	"オセアニア史．両極地方史--ミクロネシア"
ndc9:274.1	"オセアニア史．両極地方史--ミクロネシア--北マリアナ諸島"
ndc9:274.2	"オセアニア史．両極地方史--ミクロネシア--グアム"
ndc9:274.3	"オセアニア史．両極地方史--ミクロネシア--ミクロネシア連邦"
ndc9:274.4	"オセアニア史．両極地方史--ミクロネシア--パラオ"
ndc9:274.5	"オセアニア史．両極地方史--ミクロネシア--マーシャル諸島"
ndc9:274.6	"オセアニア史．両極地方史--ミクロネシア--ナウル"
ndc9:274.7	"オセアニア史．両極地方史--ミクロネシア--キリバス"
ndc9:275	"オセアニア史．両極地方史--ポリネシア"
ndc9:276	"オセアニア史．両極地方史--ハワイ"
ndc9:276.9	"オセアニア史．両極地方史--ハワイ--ミッドウェー諸島"
ndc9:277	"オセアニア史．両極地方史--両極地方"
ndc9:278	"オセアニア史．両極地方史--北極．北極地方"
ndc9:279	"オセアニア史．両極地方史--南極．南極地方"
ndc9:28	"伝記（綱目）"
ndc9:280	"伝記"
ndc9:280.2	"伝記--墓誌．墓銘"
ndc9:280.3	"伝記--参考図書［レファレンス ブック］"
ndc9:280.7	"伝記--研究法．指導法．伝記作法"
ndc9:280.8	"伝記--叢書．全集．選集．逸話集"
ndc9:281	"伝記--日本"
ndc9:282	"伝記--アジア"
ndc9:282.1	"（アジア--朝鮮人）"
ndc9:282.2	"（伝記--アジア--蒙求［書名］）"
ndc9:282.4	"（アジア--インドネシア人）"
ndc9:282.5	"（アジア--インド人）"
ndc9:283	"伝記--ヨーロッパ"
ndc9:283.3	"（ヨーロッパ--イギリス人）"
ndc9:283.4	"（ヨーロッパ--ドイツ人）"
ndc9:283.5	"（ヨーロッパ--フランス人）"
ndc9:283.6	"（ヨーロッパ--スペイン人）"
ndc9:283.7	"（ヨーロッパ--イタリア人）"
ndc9:283.8	"（ヨーロッパ--ロシア人）"
ndc9:284	"伝記--アフリカ"
ndc9:285	"伝記--北アメリカ"
ndc9:285.1	"（北アメリカ--カナダ人）"
ndc9:285.3	"（北アメリカ--アメリカ人）"
ndc9:285.6	"（北アメリカ--メキシコ人）"
ndc9:286	"伝記--南アメリカ"
ndc9:286.2	"（南アメリカ--ブラジル人）"
ndc9:286.6	"（南アメリカ--チリ人）"
ndc9:287	"伝記--オセアニア．両極地方"
