ndc9:7	"芸術．美術（類目）"
ndc9:767.7	"声楽--学校唱歌．童謡"
ndc9:767.8	"声楽--歌謡曲．流行歌．シャンソン．ジャズソング"
ndc9:767.9	"声楽--シュプレヒコール［科白の合唱・朗読］"
ndc9:768	"邦楽"
ndc9:768.1	"邦楽--邦楽器"
ndc9:768.2	"邦楽--雅楽．舞楽"
ndc9:768.3	"邦楽--琵琶楽：盲僧琵琶，平家琵琶［平曲］，薩摩琵琶，筑前琵琶"
ndc9:768.4	"邦楽--謡曲．謡本"
ndc9:768.5	"邦楽--三味線曲．浄瑠璃．義太夫"
ndc9:768.6	"邦楽--筝曲．琴歌"
ndc9:768.7	"邦楽--新日本音楽"
ndc9:768.8	"邦楽--囃子＜一般＞"
ndc9:768.9	"邦楽--詩吟．朗詠"
ndc9:769	"舞踊．バレエ"
ndc9:769.1	"舞踊．バレエ--日本舞踊．おどり"
ndc9:769.9	"舞踊．バレエ--バレエ：クラシック バレエ，モダン バレエ"
ndc9:77	"演劇（綱目）"
ndc9:770	"演劇"
ndc9:770.4	"（演劇--演劇批評，劇評）"
ndc9:770.6	"（演劇--劇団）"
ndc9:770.7	"（演劇--演劇教育）"
ndc9:770.9	"演劇--興行．検閲．宣伝．看板．入場料"
ndc9:771	"劇場．演出．演技"
ndc9:771.5	"劇場．演出．演技--舞台装置"
ndc9:771.6	"劇場．演出．演技--演出．舞台監督"
ndc9:771.7	"劇場．演出．演技--演技．俳優術"
ndc9:771.8	"劇場．演出．演技--舞台衣裳．扮装"
ndc9:772	"演劇史．各国の演劇"
ndc9:772.1	"（演劇史．各国の演劇--日本演劇）"
ndc9:772.3	"（演劇史．各国の演劇--演劇 (西洋)，バロック劇）"
ndc9:772.8	"演劇史．各国の演劇--俳優＜列伝＞"
ndc9:773	"能楽．狂言"
ndc9:773.2	"能楽．狂言--能の歴史"
ndc9:773.3	"能楽．狂言--能の演技・型・役"
ndc9:773.4	"能楽．狂言--能面"
ndc9:773.5	"能楽．狂言--能舞台"
ndc9:773.6	"能楽．狂言--能の道具"
ndc9:773.7	"能楽．狂言--能囃子"
ndc9:773.8	"能楽．狂言--流派：観世流，梅若流，金春流，宝生流，金剛流，喜多流"
ndc9:773.9	"能楽．狂言--狂言．狂言面"
ndc9:774	"歌舞伎"
ndc9:774.2	"歌舞伎--歌舞伎史"
ndc9:774.3	"歌舞伎--演出．演技．役柄"
ndc9:774.4	"歌舞伎--正本．卜書．書抜．番付"
ndc9:774.5	"歌舞伎--劇場．舞台装置．看板"
ndc9:774.6	"歌舞伎--道具"
ndc9:774.7	"歌舞伎--下座．囃子方"
