ndc9:1	"哲学（類目）"
ndc9:192.8	"キリスト教史．迫害史--キリストの生涯［イエス伝］：誕生，東方の三博士，割礼，洗礼，断食，誘惑，奇跡，山上の垂訓，変貌，最後の晩餐，受難，十字架，復活，昇天，使徒"
ndc9:193	"聖書"
ndc9:193.1	"聖書--旧約聖書"
ndc9:193.2	"聖書--歴史書"
ndc9:193.3	"聖書--詩歌書"
ndc9:193.4	"聖書--予言書"
ndc9:193.5	"聖書--新約聖書"
ndc9:193.6	"聖書--福音書"
ndc9:193.7	"聖書--使徒の書簡"
ndc9:193.8	"聖書--ヨハネ黙示録"
ndc9:193.9	"聖書--聖書外典．偽典"
ndc9:194	"信仰録．説教集"
ndc9:195	"教会．聖職"
ndc9:195.1	"教会．聖職--教会と国家"
ndc9:195.2	"教会．聖職--教会政治．教区．教会法"
ndc9:195.3	"教会．聖職--教会．礼拝堂"
ndc9:195.6	"教会．聖職--教会経済．教会財政．教会管理"
ndc9:195.7	"教会．聖職--司教．司祭．牧師"
ndc9:195.8	"教会．聖職--修道院"
ndc9:196	"典礼．祭式．礼拝"
ndc9:196.1	"典礼．祭式．礼拝--ミサ．礼拝．祈祷書"
ndc9:196.2	"典礼．祭式．礼拝--安息日．日曜日"
ndc9:196.3	"典礼．祭式．礼拝--サクラメント［秘跡］．聖礼典"
ndc9:196.4	"典礼．祭式．礼拝--聖具．聖器"
ndc9:196.5	"典礼．祭式．礼拝--讃美歌"
ndc9:196.7	"典礼．祭式．礼拝--キリスト教芸術"
ndc9:196.8	"典礼．祭式．礼拝--信心行．禁欲苦行．巡礼"
ndc9:196.9	"典礼．祭式．礼拝--家族礼拝．家庭的信行"
ndc9:197	"布教．伝道"
ndc9:197.6	"布教．伝道--キリスト教の社会事業"
ndc9:197.7	"布教．伝道--キリスト教の教育事業．日曜学校"
ndc9:198	"各教派．教会史"
ndc9:198.1	"各教派．教会史--原始キリスト教会．使徒教会"
